team,season,abbreviation,w,playoffs,Team_Season,Total_Salary,Mean_Salary,Median_Salary,STD_Salary
Atlanta Hawks,2019,ATL,29.0,False,ATL-2019,66443526,3691307.0,1942800.0,4693193.05309737
Boston Celtics,2019,BOS,49.0,True,BOS-2019,154255448,9640965.5,5181780.0,11111569.749769555
Chicago Bulls,2019,CHI,22.0,False,CHI-2019,80706074,5044129.625,2167728.0,5568329.407174601
Cleveland Cavaliers,2019,CLE,19.0,False,CLE-2019,112729947,8671534.384615384,3263294.0,8748627.697133653
Dallas Mavericks,2019,DAL,33.0,False,DAL-2019,49309106,4109092.1666666665,2627900.5,3694928.067431473
Denver Nuggets,2019,DEN,54.0,True,DEN-2019,142653267,7925181.5,2530260.0,9603841.125382705
Detroit Pistons,2019,DET,41.0,True,DET-2019,147251618,9816774.533333333,4075000.0,11300133.272613367
Golden State Warriors,2019,GSW,57.0,True,GSW-2019,211811907,12459523.94117647,5337000.0,13697919.932795368
Houston Rockets,2019,HOU,53.0,True,HOU-2019,164682358,9687197.529411765,3206160.0,12634105.4674809
Indiana Pacers,2019,IND,48.0,True,IND-2019,100197688,7156977.714285715,5891166.5,5885741.660982182
Los Angeles Clippers,2019,LAC,48.0,True,LAC-2019,100822483,7755575.615384615,5285394.0,6892518.761137259
Los Angeles Lakers,2019,LAL,37.0,False,LAL-2019,92404906,5435582.705882353,1762080.0,8439317.05180165
Memphis Grizzlies,2019,MEM,33.0,False,MEM-2019,221678507,8526096.423076924,3460757.0,9963406.796993425
Miami Heat,2019,MIA,39.0,False,MIA-2019,124378576,6546240.842105263,2383076.0,7487014.407845309
Milwaukee Bucks,2019,MIL,60.0,True,MIL-2019,143470804,7173540.2,3090860.0,6882633.32071626
Minnesota Timberwolves,2019,MIN,36.0,False,MIN-2019,103380780,7952367.692307692,4750000.0,8098920.321220275
New Orleans Pelicans,2019,NOP,33.0,False,NOP-2019,144764546,9650969.733333332,3000000.0,10597273.29850655
New York Knicks,2019,NYK,17.0,False,NYK-2019,118947806,6260410.842105263,3739920.0,7468415.37154606
